Genus,Sample1,Sample2,Sample3,Sample4
g__2-12-FULL-68-20,0.0,0.0,0.00336,0.0
g__20CM-2-65-7,0.0,0.0,0.00333,0.0
g__AR12,0.0,0.0,0.00028,0.0
g__AR31,0.0,0.00103,0.00275,0.0
g__AV2,0.0,0.0,0.00024,0.0
g__AV55,0.0,0.00083,0.00351,0.0
g__Acidovorax_D,0.0,0.00036,0.0012,0.0
g__Acinetobacter,0.0,0.00031,0.00329,0.0
g__Actinomadura_B,0.0,0.0041,0.00124,0.01086
g__Actinoplanes,0.0,0.00065,0.00059,0.0
g__Aeribacillus,0.0,0.00142,0.00157,0.0
g__Aeromicrobium,0.0,0.0,0.00033,0.0
g__Aeromonas,0.0,0.0,0.00329,0.0
g__Agromyces,0.0,0.00503,0.00578,0.00702
g__Algoriphagus,0.0,0.0,0.00262,0.0
g__Amycolatopsis,0.0,0.0,0.00046,0.0
g__Arenimonas,0.0,0.0,0.00028,0.0
g__Arthrobacter_I,0.0,0.01105,0.00497,0.01277
g__Bacillus,0.04556,0.01807,0.0291,0.03448
g__Bacillus_A,0.0,0.00034,0.00024,0.0
g__Bacillus_AM,0.0,0.00077,0.0,0.0
g__Bacillus_AY,0.0,0.00026,0.0,0.0
g__Bacillus_BB,0.0,0.00338,0.00078,0.0
g__Bacillus_C,0.0,0.00039,0.0,0.0
g__Bacillus_H,0.0,0.00041,0.00083,0.0
g__Bacillus_J,0.0,0.00077,0.00031,0.0
g__Bacillus_O,0.0,0.00046,0.00033,0.0
g__Bacillus_W,0.0,0.00085,0.00048,0.0
g__Bacillus_X,0.0,0.00088,0.00035,0.0
g__Blastococcus,0.0,0.00044,0.00022,0.0
g__Bosea,0.0,0.00439,0.00508,0.0
g__Bradyrhizobium,0.01402,0.07257,0.02833,0.01469
g__Brevibacillus,0.03271,0.00867,0.01709,0.02043
g__Brevundimonas,0.0,0.00139,0.00329,0.0
g__Caldibacillus,0.0,0.00083,0.00044,0.0
g__Catellatospora,0.0,0.00188,0.00092,0.0
g__Caulobacter,0.0,0.0,0.00039,0.0
g__Cellulomonas,0.0,0.00643,0.00575,0.0
g__Cellvibrio,0.0,0.0,0.00048,0.0
g__Chryseobacterium,0.0,0.00041,0.0,0.0
g__Clostridium_H,0.0,0.00034,0.0,0.0
g__Cohnella,0.0,0.00031,0.0,0.0
g__Corallococcus,0.0,0.00041,0.0,0.0
g__Corynebacterium,0.0,0.0,0.00031,0.0
g__Cutibacterium,0.0,0.00065,0.00083,0.0
g__DP-20,0.0,0.00137,0.00495,0.0
g__DTU010,0.0,0.00361,0.0,0.0
g__DTU012,0.0,0.00026,0.0,0.0
g__DTU014,0.0,0.00031,0.0,0.0
g__Devosia,0.0,0.00044,0.00083,0.0
g__Duganella,0.0,0.00034,0.0,0.0
g__Dyadobacter,0.0,0.00034,0.0,0.0
g__Ensifer,0.0,0.00186,0.0015,0.01086
g__Erwinia,0.0,0.00142,0.00041,0.0
g__Flavobacterium,0.0,0.0062,0.02578,0.0
g__Ga0077555,0.0,0.00268,0.00054,0.0
g__Geobacillus,0.02336,0.00834,0.00946,0.00766
g__Glycomyces,0.0,0.00034,0.00041,0.0
g__Herbinix,0.0,0.00098,0.00196,0.0
g__Herbivorax,0.0,0.00059,0.0,0.0
g__Hungateiclostridium,0.0,0.00372,0.0015,0.0
g__Hydrogenophaga,0.0,0.0,0.0,0.03065
g__Krasilnikoviella,0.0,0.00026,0.0,0.0
g__Kribbella,0.0,0.00323,0.0051,0.0
g__Laceyella,0.01402,0.00798,0.00327,0.00766
g__Lacunisphaera,0.0,0.0,0.00139,0.0
g__Lentzea,0.0,0.00132,0.00044,0.0
g__Lysobacter,0.0,0.0,0.01151,0.0
g__Massilia,0.0,0.00067,0.00059,0.0
g__Mesorhizobium,0.0,0.00413,0.0034,0.0
g__Methanoculleus,0.0,0.00054,0.00072,0.0
g__Methanosarcina,0.04206,0.01616,0.00944,0.03001
g__Methylobacter,0.0,0.00111,0.0,0.0
g__Methylobacterium,0.0,0.0007,0.00107,0.0
g__Methylocaldum,0.0,0.00266,0.0019,0.0
g__Methyloceanibacter,0.0,0.00049,0.0005,0.0
g__Microbacterium,0.0,0.00485,0.00368,0.00639
g__Micromonospora,0.0,0.0094,0.00325,0.0
g__Microterricola,0.0,0.00207,0.00085,0.0
g__Microvirga,0.0,0.02171,0.00307,0.0
g__Mycobacterium,0.05257,0.04368,0.05442,0.03576
g__NS-7,0.0,0.0,0.00283,0.0
g__Nitrobacter,0.0,0.00617,0.00157,0.0
g__Nitrosarchaeum,0.0,0.0,0.00048,0.0
g__Nitrosocosmicus,0.0,0.01033,0.01473,0.02618
g__Nitrosomonas,0.0,0.00031,0.0,0.0
g__Nitrosospira,0.0,0.00196,0.00179,0.0
g__Nocardia,0.0,0.00524,0.00907,0.0
g__Nocardioides,0.03154,0.02613,0.02138,0.02171
g__Nocardiopsis,0.0,0.0,0.00072,0.0
g__Novibacillus,0.0,0.00617,0.00541,0.0
g__Oerskovia,0.0,0.00093,0.0,0.0
g__PLOWO2-02-64-14,0.0,0.0,0.00155,0.0
g__Paenarthrobacter,0.0,0.00349,0.00074,0.0
g__Paenibacillus,0.0,0.00093,0.00046,0.0
g__Paenibacillus_A,0.0,0.00075,0.0005,0.0
g__Paenibacillus_C,0.0,0.0,0.01933,0.0
g__Paenibacillus_M,0.0,0.00052,0.00148,0.0
g__Paenibacillus_Q,0.0,0.00026,0.00039,0.0
g__Paenisporosarcina,0.0,0.00085,0.00026,0.0
g__Palsa-1315,0.0,0.00839,0.02803,0.0
g__Palsa-89,0.0,0.0,0.00026,0.0
g__Parageobacillus,0.0,0.00372,0.00107,0.0
g__Parageobacillus_A,0.0,0.00382,0.00085,0.0
g__Pararhizobium,0.0,0.00271,0.00196,0.00639
g__Pedobacter,0.0,0.00049,0.00157,0.0
g__Phenylobacterium,0.0,0.0,0.00024,0.0
g__Phyllobacterium,0.0,0.00222,0.00146,0.0
g__Planifilum,0.05841,0.07549,0.09451,0.03831
g__Planococcus,0.0,0.0,0.00074,0.0
g__Promicromonospora,0.0,0.00046,0.00039,0.0
g__Pseudarthrobacter,0.0,0.00627,0.00362,0.0
g__Pseudoclostridium,0.0,0.00067,0.0,0.0
g__Pseudoduganella,0.01168,0.0007,0.00048,0.0
g__Pseudomonas_E,0.12383,0.02453,0.05791,0.10473
g__Pseudonocardia,0.0,0.00067,0.00068,0.0
g__Pseudoxanthomonas_A,0.0,0.0,0.00033,0.0
